pesos(entrada1),pesos(entrada2),pesos(saida)
0.6275881859391736,0.5316248880273337,0.7625283426411825
-0.49235505678103536,-0.08106775616355956,-0.13197190538500161
0.030404033861731603,-0.94086435447992,-0.6113275196418997
0.22436471258846322,-0.4935829686461797,0.44355860226733335
-1.0222584718990801,0.3505384948806024,0.7702071685258108
-0.8218707534601574,-0.5419508025499118,-0.794922450506083
0.772485889126262,1.1358408624622574,-0.8907550459665156
0.2846224634580164,-0.05959015928344512,0.08972523229459207
-0.6698272452654358,0.8099221814635017,0.20165570874074973
0.5523101270133092,0.5995801397222061,0.5935586622687775
